Column1;Column2;Column3;Column4;Column5;Column6;Column7
id;name;originalName;nameEn_suggested;nameEn_approved;slugEn;flag
9Rjmxy5t05zBMPcBNtSP;À travers les Hautes Fagnes;;Through the High Fens;;;
QGH3h48bIQLdHL7edkoA;A Travers les Hauts de France;;A Travers les Hauts de France;;;
j7JbioO6W8XYGLyYPvkl;A Través de Flandes;Dwars door Vlaanderen;Dwars door Vlaanderen;;;
US3oIygaPK5o462EiMWe;A Través de Flandes femenina;Dwars door Vlaanderen;Dwars door Vlaanderen;;;
gAetXNwhIbwHbyyW1hOv;Alpes Gresivaudan Classic;;Alpes Grésivaudan Classic;;;
wRWdU9zyvshZkCCJT3nS;Alpes Isère Tour;;Alpes Isère Tour;;;
1sR8JQengL2yFJx1c9o8;AlUla Tour;;AlUla Tour;;;
TcBKM90AfYFOPneionNr;Amstel Gold Race;;Amstel Gold Race;;;
IF4G6hzKIe4OTb5nwqRX;Amstel Gold Race femenina;;Amstel Gold Race Women;;;
X1GFZpSA27XvqPgxgqEh;Andorra Morabanc Clàssica;;Andorra Morabanc Clàssica;;;
NwV7kCZOXcHpVOhTOmmM;Annemasse Classic;;Annemasse Classic;;;
oKT9r8WJa64elyDgBDaU;Antwerp Port Epic;;Antwerp Port Epic;;;
gQlPWS65ayduM1VxXIWT;Antwerp Port Epic Ladies;;Antwerp Port Epic Ladies;;;
da8Vzpi6qIlFuRwvBa9I;Arctic Race of Norway;;Arctic Race of Norway;;;
XXREjBydVZ00t5V5FYP7;Argenta Classic - Deurne;;Argenta Classic - Deurne;;;
K5cQkmfOnnH2esgTzz2V;Arno Wallaard Memorial;;Arno Wallaard Memorial;;;
SUqmwHSADIOI5jqTsp4H;Aveiro Region Champions Classic;;Aveiro Region Champions Classic;;;
o6sx43TOWpw80BHx1GKW;Bakú-Jankendi;Baku-Khankendi Azerbaijan race;Baku-Khankendi Azerbaijan race;;;
rJPcuvTZ9iALSCad8s5J;Baloise Ladies Tour;;Baloise Ladies Tour;;;
WiGrn1y70EH7spikAOGW;Baltic Chain Tour;;Baltic Chain Tour;;;
IresTcUsi2niCV2gdYiZ;Belgrado-Bania Luka;Beograd-Banjaluka;Beograd-Banjaluka;;;
aalZzeqJHYgWxuQ2VG3A;Beobank Samyn Ladies;;Beobank Samyn Ladies;;;
00XQfGADXDyT4XJc6RHw;Binche - Chimay - Binche / Mémorial Frank Vandenbroucke;;Binche - Chimay - Binche / Mémorial Frank Vandenbroucke;;;
duASGGFqGw2JOBM3B2WU;Binche Chimay Binche pour Dames;;Binche Chimay Binche pour Dames;;;
dItWHAtzToruUsxtMXEC;Boucle de l'Artois;;Boucle de l'Artois;;;
OTQ7NLjzte3ddKHXDuz1;Boucles de l'Aulne - Châteaulin;;Boucles de l'Aulne - Châteaulin;;;
ZgflGcpTPtERkEzasLy5;Boucles de la Mayenne;;Boucles de la Mayenne;;;
1r8BI4rLxWMpMg3tS3UB;Boucles Drôme Ardèche Femmes;;Boucles Drôme Ardèche Femmes;;;
c6ULZ9ABPlLlVd3W4oBb;Bredene Koksijde Classic;;Bredene Koksijde Classic;;;
FPzdtMe5NYSMIAQBs6Cb;Bretagne Classic;;Bretagne Classic;;;
LH9OYfbyTZrzR4SvXWIj;Bretagne Ladies Tour;;Bretagne Ladies Tour;;;
HCmad8mSVy95rlr1naP8;BW Classic;;BW Classic;;;
b7VRl28bGrnw42EHRpyx;Cadel Evans Great Ocean Road Race;;Cadel Evans Great Ocean Road Race;;;
XymqgVe4VSOt3hZFQjwt;Cadel Evans Great Ocean Road Race femenina;;Cadel Evans Great Ocean Road Race Women;;;
yFdxd79zH7a57ZVDyomN;Campeonato de Flandes (Koolskamp);Kampioenschap van Vlaanderen;Kampioenschap van Vlaanderen;;;
M3wONJ7iRIExl8g8y0Yi;Campeonatos de Asia;;Asian Championships;;;
esSYf9dmJfJgXivqDRNv;Campeonatos de Europa;;European Championships;;;
vzqrGCpbaq1xIHyl41H0;Campeonatos de Oceanía;;Oceania Championships;;;
